0.5	0.839763	0.595406	x	0.792453
1	0.758397	1.31857	x	0.766917
1.5	0.670935	2.23569	x	0.650516
2	0.618546	3.23339	x	0.606369
2.5	0.581835	4.29675	x	0.592209
3	0.559091	5.36585	x	0.555979
3.5	0.542078	6.45664	x	0.543773
4	0.53026	7.54347	x	0.523743
4.5	0.522997	8.60426	x	0.524206
5	0.513773	9.73193	x	0.505451
5.5	0.50989	10.7866	x	0.511447
6	0.506415	11.848	x	0.501129
6.5	0.502386	12.9383	x	0.50313
7	0.499836	14.0046	x	0.49513
7.5	0.496879	15.0942	x	0.491067
