theta	x	pmeasured	papproxconst	papproxexp	papproxconstfrac	papproxexpfrac
3	2.0	0.26498	0.35645	0.45127	0.31392	0.41209
4	2.0	0.05498	0.10235	0.17835	0.09693	0.17222
4	2.5	0.19189	0.20865	0.31607	0.19198	0.30041
5	2.0	0.01200	0.02930	0.07359	0.02876	0.07269
5	2.5	0.05286	0.06677	0.14235	0.06443	0.13944
5	3.0	0.15192	0.13070	0.23954	0.12357	0.23257
6	2.0	0.00264	0.00797	0.03073	0.00793	0.03060
6	2.5	0.01513	0.02105	0.06592	0.02078	0.06539
6	3.0	0.05075	0.04533	0.11871	0.04424	0.11721
6	3.5	0.12825	0.08599	0.19159	0.08271	0.18820
7	2.0	0.00051	0.00198	0.01274	0.00198	0.01272
7	2.5	0.00421	0.00628	0.03074	0.00625	0.03064
7	3.0	0.01739	0.01532	0.05992	0.01518	0.05960
7	3.5	0.07482	0.03167	0.10215	0.03113	0.10132
8	2.0	0.00010	0.00045	0.00519	0.00045	0.00519
8	2.5	0.00114	0.00173	0.01426	0.00172	0.01424
8	3.0	0.00576	0.00489	0.03037	0.00488	0.03031
8	3.5	0.02853	0.01128	0.05515	0.01121	0.05495
8	6.0	0.42788	0.17702	0.36071	0.16771	0.35630
