x	E	C
0.5	0.91996	0.543502
1	0.90636	1.10331
1.5	0.869539	1.72505
2	0.849344	2.35476
2.5	0.841494	2.9709
3	0.8354	3.59109
3.5	0.832397	4.20472
4	0.828228	4.82959
4.5	0.823789	5.46256
5	0.819928	6.0981
5.5	0.811995	6.77344
6	0.801376	7.48712
6.5	0.785908	8.27069
7	0.762028	9.18602
7.5	0.710688	10.5532
7.75	0.635826	12.1888
7.9	0.502104	15.7338
7.95	0.330362	24.0645
