x	CReal	CTh
0.5	0.559259719	0.499985
0.683333	0.539783086	0.49993635
0.866667	0.527320463	0.499813723
1.05	0.518190971	0.499571796
1.23333	0.512120684	0.499148073
1.41667	0.507690599	0.498483441
1.6	0.503657815	0.497498515
1.78333	0.500375984	0.496119136
1.96667	0.497086991	0.494261135
2.15	0.494010979	0.491820904
2.33333	0.490313836	0.488689271
2.51667	0.485640185	0.484731928
2.7	0.480278348	0.479784204
2.88333	0.47393414	0.473648417
3.06667	0.466286036	0.466072729
3.25	0.45676283	0.456726243
3.43333	0.445052972	0.445179929
3.61667	0.430401725	0.430849854
3.8	0.412074208	0.412921397
3.98333	0.389689683	0.390231788
4.16667	0.359409476	0.361047615
4.35	0.320730233	0.322673966
4.53333	0.268789911	0.27066111
4.71667	0.195572869	0.197139872
4.9	0.086268365	0.086695282
