B	BB05x	Beff	ElimB	EunlBeff	EunlB	pfull
556	9.38286	9.37153	0.88132	0.88097	0.88109	0.00121
556	15.11897	15.0998	0.91325	0.91041	0.91051	0.00127
157	1.178	1.1765	0.53306	0.53493	0.53519	0.00127
103	2.1299	2.1272	0.65185	0.65347	0.65372	0.00127
157	2.64948	2.64608	0.69829	0.7005	0.70074	0.00128
157	19.24963	19.22493	0.94472	0.94623	0.9463	0.00128
44	1.13857	1.13709	0.52569	0.5241	0.52436	0.0013
68	0.87078	0.86965	0.47337	0.47052	0.47078	0.0013
365	44.75233	44.69152	0.97612	0.9763	0.97634	0.00136
365	4.73209	4.72558	0.8035	0.8024	0.80261	0.00137
103	12.62874	12.61133	0.919	0.92012	0.92023	0.00138
239	29.30358	29.263	0.96386	0.96408	0.96413	0.00138
239	3.09854	3.09424	0.73328	0.73119	0.73144	0.00139
44	5.3948	5.3873	0.83108	0.82943	0.82963	0.00139
2	2	1.99714	0.65858	0.65384	0.65415	0.00143
2	2	1.99714	0.65858	0.65384	0.65415	0.00143
239	4.9422	4.93509	0.79229	0.79253	0.79273	0.00144
365	4.67403	4.66729	0.78702	0.78482	0.78505	0.00144
365	7.54772	7.5367	0.84857	0.84533	0.8455	0.00146
239	3.06053	3.05587	0.71526	0.71408	0.71435	0.00152
5	0.61305	0.61211	0.40662	0.4072	0.40746	0.00153
13	1.47109	1.46876	0.57584	0.57856	0.57891	0.00158
44	0.74253	0.74131	0.43395	0.43487	0.4352	0.00164
13	0.83371	0.83233	0.45876	0.45912	0.45946	0.00165
2	2	1.9966	0.6607	0.65556	0.65593	0.0017
2	2	1.9966	0.6607	0.65556	0.65593	0.0017
29	0.78858	0.78721	0.47166	0.4493	0.44965	0.00174
68	0.88159	0.88003	0.47145	0.47246	0.47283	0.00178
103	1.73819	1.73503	0.61605	0.61658	0.61696	0.00182
103	4.36811	4.36007	0.7878	0.78852	0.78881	0.00184
68	1.40615	1.40352	0.56978	0.56932	0.56971	0.00187
29	1.06052	1.05845	0.50304	0.50971	0.51012	0.00195
157	2.03545	2.03144	0.64926	0.64988	0.65028	0.00197
44	2.82178	2.81614	0.71878	0.71891	0.7193	0.002
157	2.01047	2.00644	0.63454	0.63649	0.63688	0.00201
4	4	3.99176	0.78042	0.78661	0.78694	0.00206
68	2.8838	2.87759	0.71715	0.71697	0.71737	0.00215
4	0.49044	0.48937	0.37074	0.36998	0.37033	0.00218
157	6.65818	6.64345	0.84696	0.84761	0.84788	0.00221
68	4.36093	4.35131	0.80065	0.79645	0.7968	0.00221
13	2.69374	2.68776	0.72658	0.72604	0.72647	0.00222
68	0.51022	0.50908	0.36468	0.36317	0.3636	0.00224
19	0.80577	0.80391	0.44955	0.45168	0.45216	0.00231
103	6.60553	6.58966	0.85516	0.8553	0.8556	0.0024
103	3.76668	3.75756	0.7619	0.76182	0.76223	0.00242
44	1.86599	1.8614	0.62615	0.63011	0.63063	0.00246
29	1.85981	1.85516	0.63224	0.63238	0.63292	0.0025
68	2.48674	2.48042	0.68454	0.68636	0.68686	0.00254
8	1.65769	1.65346	0.61838	0.62111	0.62171	0.00255
19	3.93701	3.92669	0.79321	0.79363	0.79405	0.00262
19	2.05917	2.05376	0.65931	0.65426	0.65485	0.00263
103	2.80082	2.79345	0.71371	0.70271	0.70318	0.00263
44	0.56345	0.56195	0.38894	0.38641	0.3869	0.00266
239	10.13571	10.10857	0.8932	0.89338	0.89363	0.00268
8	0.98087	0.97824	0.49235	0.49387	0.4944	0.00268
157	5.74145	5.72591	0.82559	0.8262	0.82657	0.00271
157	4.2692	4.25763	0.7789	0.77212	0.77253	0.00271
239	6.49898	6.48129	0.83405	0.82917	0.8295	0.00272
19	2.15005	2.1441	0.66539	0.66142	0.66202	0.00277
29	3.14295	3.13418	0.7455	0.74411	0.74466	0.00279
157	17.01528	16.96738	0.9393	0.93926	0.93941	0.00282
157	1.69137	1.68659	0.61081	0.61122	0.61182	0.00283
68	1.84908	1.84375	0.6421	0.62384	0.62442	0.00288
103	3.28842	3.27888	0.74251	0.7424	0.74293	0.0029
157	5.01245	4.99784	0.81199	0.81231	0.81274	0.00291
29	6.00912	5.99157	0.85588	0.85314	0.8535	0.00292
19	2.32957	2.32272	0.67967	0.67679	0.67741	0.00294
68	7.36968	7.34795	0.87317	0.87359	0.87392	0.00295
103	11.16289	11.13	0.91052	0.91184	0.91207	0.00295
239	25.90224	25.82578	0.95952	0.95871	0.95883	0.00295
365	39.55782	39.4411	0.97351	0.97298	0.97307	0.00295
365	23.40794	23.33855	0.95559	0.95581	0.95594	0.00296
239	15.32739	15.28186	0.931	0.93287	0.93306	0.00297
157	10.06862	10.03841	0.8983	0.90035	0.90062	0.003
68	2.171	2.16441	0.66383	0.66114	0.66177	0.00304
365	9.92522	9.89506	0.87913	0.87488	0.87517	0.00304
103	1.31897	1.31496	0.55267	0.55335	0.55396	0.00304
8	0.90528	0.90247	0.47703	0.47836	0.47896	0.00311
365	15.47922	15.43077	0.92929	0.928	0.92821	0.00313
13	2.54005	2.53208	0.71948	0.71585	0.71648	0.00314
19	3.71239	3.70029	0.78728	0.78553	0.78607	0.00326
365	41.30361	41.16448	0.97482	0.97407	0.97416	0.00337
239	8.74017	8.71055	0.87802	0.87753	0.8779	0.00339
68	7.69492	7.66872	0.87647	0.87577	0.87614	0.0034
5	5	4.98295	0.81243	0.8192	0.81966	0.00341
2	2	1.99318	0.65898	0.65217	0.65293	0.00341
2	2	1.99318	0.65898	0.65217	0.65293	0.00341
103	1.33536	1.3308	0.55952	0.56087	0.5616	0.00341
44	9.11728	9.08619	0.89666	0.89707	0.89738	0.00341
103	0.77283	0.77019	0.44607	0.44683	0.44754	0.00342
29	3.28166	3.27037	0.75203	0.74843	0.74909	0.00344
5	1.03605	1.03248	0.50412	0.5078	0.50864	0.00345
8	1.56311	1.5577	0.60949	0.60837	0.60919	0.00346
44	2.49405	2.48537	0.69382	0.69324	0.69394	0.00348
68	1.14754	1.14354	0.52868	0.52716	0.52792	0.00349
157	17.76621	17.70409	0.94004	0.94128	0.94147	0.0035
44	4.76861	4.75188	0.81519	0.81692	0.81746	0.00351
19	1.2185	1.21419	0.53745	0.53936	0.54014	0.00353
29	3.55566	3.54304	0.7643	0.76071	0.76136	0.00355
239	27.04538	26.94942	0.96085	0.96041	0.96054	0.00355
103	2.66529	2.65582	0.69149	0.69317	0.69382	0.00355
239	6.1845	6.16228	0.8216	0.82153	0.82197	0.00359
13	1.59392	1.58813	0.59268	0.59493	0.59571	0.00363
44	0.90986	0.90655	0.48199	0.47862	0.47935	0.00364
365	13.34796	13.29894	0.91789	0.91743	0.91773	0.00367
239	7.63042	7.60228	0.86764	0.8675	0.86793	0.00369
157	4.06262	4.04755	0.76095	0.76379	0.76435	0.00371
365	9.44495	9.4099	0.87016	0.86839	0.86876	0.00371
103	11.65554	11.61209	0.9126	0.91394	0.91423	0.00373
68	3.85444	3.83998	0.7771	0.77488	0.77552	0.00375
44	1.60907	1.603	0.59085	0.59757	0.59836	0.00377
44	4.97907	4.96029	0.82084	0.81968	0.82024	0.00377
44	1.19646	1.19193	0.5539	0.53441	0.5352	0.00379
19	0.51666	0.51468	0.38802	0.36813	0.36882	0.00382
44	8.59711	8.56375	0.89377	0.89244	0.89281	0.00388
556	14.38737	14.33139	0.90707	0.9059	0.90621	0.00389
29	5.66628	5.64389	0.85036	0.84694	0.84744	0.00395
157	0.96172	0.95787	0.48895	0.49163	0.49244	0.004
365	11.65315	11.6063	0.90998	0.90964	0.90998	0.00402
4	0.82884	0.8255	0.44972	0.45418	0.45514	0.00404
157	19.24963	19.17122	0.94464	0.94609	0.9463	0.00407
29	1.6438	1.6369	0.60563	0.60485	0.60576	0.0042
5	0.97694	0.97283	0.48958	0.49348	0.49451	0.00421
103	12.62874	12.57528	0.91811	0.91991	0.92023	0.00423
239	29.30358	29.17901	0.96388	0.96398	0.96413	0.00425
